               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.026986,            0.068859,          3.4186e-08,             0.92222,             0.89755,             0.96187,             0.56867,            0.022933,            0.057598,          3.4151e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.028064,            0.070457,          3.4244e-08,             0.95394,             0.84064,             0.94164,             0.49786,            0.025278,            0.060833,          3.4032e-08,            0.009274,            0.009274,            0.009274
                  46,            0.029808,            0.071092,          3.4165e-08,             0.93251,             0.87052,             0.94761,             0.55608,            0.021941,            0.055225,           3.459e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.028482,             0.06783,          3.4295e-08,             0.94588,             0.85657,             0.94723,             0.55195,            0.021694,            0.057177,          3.4392e-08,            0.009241,            0.009241,            0.009241
                  48,            0.027379,            0.069707,          3.4365e-08,             0.95062,             0.84064,              0.9381,             0.52436,            0.022709,            0.057257,           3.463e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.027274,            0.068915,          3.4347e-08,             0.94964,             0.84661,             0.95042,              0.5406,            0.021881,            0.057785,          3.4381e-08,            0.009208,            0.009208,            0.009208
                  50,            0.027463,            0.068529,           3.413e-08,             0.94821,             0.89841,             0.96824,             0.53891,            0.022072,             0.05483,          3.4185e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.026786,            0.066719,          3.3938e-08,             0.93798,             0.86653,             0.95105,             0.57128,            0.021997,            0.060096,          3.4475e-08,            0.009175,            0.009175,            0.009175
                  52,            0.026672,            0.068764,          3.3984e-08,             0.95622,              0.8702,             0.95218,             0.59498,            0.020482,            0.055483,          3.4175e-08,           0.0091585,           0.0091585,           0.0091585
                  53,            0.027588,            0.068775,          3.4072e-08,             0.94745,             0.84661,             0.94535,             0.55437,            0.022138,            0.057928,          3.4078e-08,            0.009142,            0.009142,            0.009142
                  54,             0.02751,            0.063724,          3.4055e-08,             0.95492,             0.88605,             0.95716,             0.58687,            0.021349,            0.056312,          3.3959e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.028261,            0.065323,          3.4063e-08,              0.9549,             0.89243,             0.95963,             0.60034,            0.020936,            0.056987,          3.4375e-08,            0.009109,            0.009109,            0.009109
                  56,            0.027977,            0.072033,          3.4061e-08,             0.95895,             0.88415,             0.95566,             0.59321,            0.020344,            0.055033,          3.4007e-08,           0.0090925,           0.0090925,           0.0090925
                  57,            0.026523,            0.068233,          3.4144e-08,             0.94948,             0.86853,             0.94739,             0.58236,            0.021717,            0.058988,          3.4075e-08,            0.009076,            0.009076,            0.009076
                  58,            0.026715,            0.065231,          3.4131e-08,             0.95845,             0.87649,             0.95661,             0.58075,            0.021028,            0.055623,          3.4024e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.027355,             0.06556,          3.4021e-08,             0.95643,             0.87849,             0.95943,             0.61136,            0.019763,            0.053623,          3.3905e-08,            0.009043,            0.009043,            0.009043
                  60,            0.025924,            0.068864,           3.391e-08,             0.94196,             0.87294,             0.95004,             0.62111,            0.019771,            0.054229,           3.362e-08,           0.0090265,           0.0090265,           0.0090265
                  61,            0.026029,            0.068372,          3.3839e-08,             0.94261,             0.88845,             0.95652,             0.62167,            0.020067,            0.054705,          3.3445e-08,             0.00901,             0.00901,             0.00901
                  62,            0.025389,            0.064651,          3.3871e-08,             0.95502,             0.88645,             0.95358,             0.64524,            0.018888,             0.05431,          3.4104e-08,           0.0089935,           0.0089935,           0.0089935
